route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
1 39A c a,284,5901_10520,Ongar,17121,0,5901_7778195_7039035,5901_232
1 39A c a,284,5901_10522,Ongar,17112,0,5901_7778195_7039037,5901_230
1 39A c a,284,5901_10527,Ongar,17175,0,5901_7778195_7039025,5901_230
1 39A c a,284,5901_10531,Ongar,17007,0,5901_7778195_7039008,5901_231
1 39A c a,284,5901_10534,Ongar,17253,0,5901_7778195_7039002,5901_230
1 39A c a,284,5901_10540,Ongar,17027,0,5901_7778195_7039012,5901_231
1 39A c a,284,5901_10542,Ongar,16974,0,5901_7778195_7039036,5901_230
1 39A c a,284,5901_10549,Ongar,17196,0,5901_7778195_7039022,5901_230
1 39A c a,284,5901_10551,Ongar,17136,0,5901_7778195_7039026,5901_230
1 39A c a,284,5901_10557,Ongar,16942,0,5901_7778195_7039043,5901_232
1 39A c a,284,5901_10559,Ongar,16984,0,5901_7778195_7039039,5901_231
1 39A c a,284,5901_10562,Ongar,16967,0,5901_7778195_7039034,5901_230
1 39A c a,284,5901_10568,Ongar,17232,0,5901_7778195_7039003,5901_231
1 39A c a,284,5901_10570,Ongar,17220,0,5901_7778195_7039006,5901_230
1 39A c a,284,5901_10577,Ongar,17016,0,5901_7778195_7039048,5901_231
1 39A c a,284,5901_10580,Ongar,17177,0,5901_7778195_7039025,5901_230
1 39A c a,284,5901_10583,Ongar,17255,0,5901_7778195_7039002,5901_231
1 39A c a,284,5901_10587,Ongar,16976,0,5901_7778195_7039036,5901_231
1 39A c a,284,5901_10591,Ongar,17138,0,5901_7778195_7039026,5901_230
1 39A c a,284,5901_10595,Ongar,16986,0,5901_7778195_7039039,5901_231
1 39A c a,284,5901_10601,Ongar,17018,0,5901_7778195_7039048,5901_230
1 39A c a,284,5901_10603,Ongar,17179,0,5901_7778195_7039025,5901_230
1 39A c a,284,5901_10608,Ongar,16958,0,5901_7778195_7039049,5901_232
1 39A c a,284,5901_10611,Ongar,16978,0,5901_7778195_7039036,5901_231
1 39A c a,284,5901_10615,Ongar,17140,0,5901_7778195_7039026,5901_230
1 39A c a,284,5901_10619,Ongar,16988,0,5901_7778195_7039039,5901_231
1 39A c a,284,5901_10623,UCD,17099,1,5901_7778195_7039001,5901_234
1 39A c a,284,5901_10627,UCD,17223,1,5901_7778195_7039003,5901_233
1 39A c a,284,5901_10628,UCD,12296,1,5901_7778195_11811136,5901_233
1 39A c a,284,5901_10632,UCD,17211,1,5901_7778195_7039006,5901_233
1 39A c a,284,5901_10635,UCD,17036,1,5901_7778195_7039007,5901_233
1 39A c a,284,5901_10636,UCD,17000,1,5901_7778195_7039008,5901_233
1 39A c a,284,5901_10641,UCD,12035,1,5901_7778195_7039515,5901_233
1 39A c a,284,5901_10642,UCD,16886,1,5901_7778195_7039011,5901_233
1 39A c a,284,5901_10645,UCD,17246,1,5901_7778195_7039002,5901_233
1 39A c a,284,5901_10650,UCD,17020,1,5901_7778195_7039012,5901_235
1 39A c a,284,5901_10652,UCD,17009,1,5901_7778195_7039015,5901_233
1 39A c a,284,5901_10655,UCD,16946,1,5901_7778195_7039004,5901_233
1 39A c a,284,5901_10659,UCD,17122,1,5901_7778195_7039018,5901_235
1 39A c a,284,5901_10661,UCD,17141,1,5901_7778195_7039020,5901_233
1 39A c a,284,5901_10663,UCD,15126,1,5901_7778195_7807121,5901_234
1 39A c a,284,5901_10666,UCD,17189,1,5901_7778195_7039022,5901_233
1 39A c a,284,5901_10669,UCD,17205,1,5901_7778195_7039023,5901_234
1 39A c a,284,5901_10672,UCD,16999,1,5901_7778195_7039009,5901_233
1 39A c a,284,5901_10674,UCD,17129,1,5901_7778195_7039026,5901_233
1 39A c a,284,5901_10676,UCD,19428,1,5901_7778195_8808111,5901_233
1 39A c a,284,5901_10679,UCD,17198,1,5901_7778195_7039028,5901_233
1 39A c a,284,5901_10681,UCD,17234,1,5901_7778195_7039031,5901_233
1 39A c a,284,5901_10684,UCD,17047,1,5901_7778195_7039030,5901_234
1 39A c a,284,5901_10686,UCD,17235,1,5901_7778195_7039033,5901_233
1 39A c a,284,5901_10688,UCD,17101,1,5901_7778195_7039001,5901_233
1 39A c a,284,5901_10692,UCD,19273,1,5901_7778195_11311117,5901_233
1 39A c a,284,5901_10695,UCD,19425,1,5901_7778195_8808115,5901_234
1 39A c a,284,5901_10696,UCD,16960,1,5901_7778195_7039034,5901_233
1 39A c a,284,5901_10700,UCD,19719,1,5901_7778195_8808117,5901_234
1 39A c a,284,5901_10704,UCD,17225,1,5901_7778195_7039003,5901_233
1 39A c a,284,5901_10705,UCD,17213,1,5901_7778195_7039006,5901_233
1 39A c a,284,5901_10709,UCD,17116,1,5901_7778195_7039035,5901_233
1 39A c a,284,5901_10712,UCD,17107,1,5901_7778195_7039037,5901_233
1 39A c a,284,5901_10717,UCD,17038,1,5901_7778195_7039007,5901_233
1 39A c a,284,5901_10721,UCD,17170,1,5901_7778195_7039025,5901_234
1 39A c a,284,5901_10723,UCD,17061,1,5901_7778195_7039029,5901_233
1 39A c a,284,5901_10726,UCD,17002,1,5901_7778195_7039008,5901_234
1 39A c a,284,5901_10729,UCD,16888,1,5901_7778195_7039011,5901_233
1 39A c a,284,5901_10733,UCD,17248,1,5901_7778195_7039002,5901_233
1 39A c a,284,5901_10738,UCD,17022,1,5901_7778195_7039012,5901_233
1 39A c a,284,5901_10741,UCD,17011,1,5901_7778195_7039015,5901_233
1 39A c a,284,5901_10745,UCD,16948,1,5901_7778195_7039004,5901_233
1 39A c a,284,5901_10749,UCD,17124,1,5901_7778195_7039018,5901_234
1 39A c a,284,5901_10751,UCD,17143,1,5901_7778195_7039020,5901_233
1 39A c a,284,5901_10754,UCD,16969,1,5901_7778195_7039036,5901_233
1 39A c a,284,5901_10758,UCD,17191,1,5901_7778195_7039022,5901_233
1 39A c a,284,5901_10762,UCD,17207,1,5901_7778195_7039023,5901_233
1 39A c a,284,5901_10766,UCD,17131,1,5901_7778195_7039026,5901_233
1 39A c a,284,5901_10769,UCD,17200,1,5901_7778195_7039028,5901_234
1 39A c a,284,5901_10772,UCD,17049,1,5901_7778195_7039030,5901_233
1 39A c a,284,5901_10775,UCD,16979,1,5901_7778195_7039039,5901_233
1 39A c a,284,5901_10779,UCD,17103,1,5901_7778195_7039001,5901_234
1 39A c a,284,5901_10782,UCD,16962,1,5901_7778195_7039034,5901_233
1 39A c a,284,5901_10787,UCD,17227,1,5901_7778195_7039003,5901_233
1 39A c a,284,5901_10788,UCD,17215,1,5901_7778195_7039006,5901_233
1 39A c a,284,5901_10792,UCD,17118,1,5901_7778195_7039035,5901_233
1 39A c a,284,5901_10796,UCD,17109,1,5901_7778195_7039037,5901_233
1 39A c a,284,5901_10801,UCD,17040,1,5901_7778195_7039007,5901_234
1 39A c a,284,5901_10803,UCD,17265,1,5901_7778195_7039041,5901_233
1 39A c a,284,5901_10808,UCD,17172,1,5901_7778195_7039025,5901_233
1 39A c a,284,5901_10809,UCD,17063,1,5901_7778195_7039029,5901_233
1 39A c a,284,5901_10813,UCD,17004,1,5901_7778195_7039008,5901_233
1 39A c a,284,5901_10817,UCD,16890,1,5901_7778195_7039011,5901_233
1 39A c a,284,5901_10820,UCD,17250,1,5901_7778195_7039002,5901_233
1 39A c a,284,5901_10825,UCD,17024,1,5901_7778195_7039012,5901_233
1 39A c a,284,5901_10829,UCD,17013,1,5901_7778195_7039015,5901_233
1 39A c a,284,5901_10832,UCD,16950,1,5901_7778195_7039004,5901_234
1 39A c a,284,5901_10835,UCD,17126,1,5901_7778195_7039018,5901_233
1 39A c a,284,5901_10839,UCD,17145,1,5901_7778195_7039020,5901_233
1 39A c a,284,5901_10841,UCD,16971,1,5901_7778195_7039036,5901_233
1 39A c a,284,5901_10846,UCD,17193,1,5901_7778195_7039022,5901_233
1 39A c a,284,5901_10850,UCD,17209,1,5901_7778195_7039023,5901_233
1 39A c a,284,5901_10852,UCD,17133,1,5901_7778195_7039026,5901_233
1 39A c a,284,5901_10856,UCD,17202,1,5901_7778195_7039028,5901_233
1 39A c a,284,5901_10860,UCD,16939,1,5901_7778195_7039043,5901_233
1 39A c a,284,5901_10864,UCD,17051,1,5901_7778195_7039030,5901_234
1 39A c a,284,5901_10866,UCD,16981,1,5901_7778195_7039039,5901_233
1 39A c a,284,5901_10870,UCD,17105,1,5901_7778195_7039001,5901_233
1 39A c a,284,5901_10872,UCD,16964,1,5901_7778195_7039034,5901_233
1 39A c a,284,5901_10877,UCD,17222,1,5901_7778195_7039045,5901_233
1 39A c a,284,5901_10881,UCD,17229,1,5901_7778195_7039003,5901_233
1 39A c a,284,5901_10884,UCD,17217,1,5901_7778195_7039006,5901_234
1 39A c a,284,5901_10887,UCD,17120,1,5901_7778195_7039035,5901_233
1 39A c a,284,5901_10891,UCD,17111,1,5901_7778195_7039037,5901_233
1 39A c a,284,5901_10896,UCD,17042,1,5901_7778195_7039007,5901_234
1 39A c a,284,5901_10899,UCD,17267,1,5901_7778195_7039041,5901_234
1 39A c a,284,5901_10903,UCD,17174,1,5901_7778195_7039025,5901_233
1 39A c a,284,5901_10906,UCD,17006,1,5901_7778195_7039008,5901_233
