stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000779,779,Waterloo Road,,53.328689,-6.245447,,,,
8220DB000792,792,Dawson Street,,53.3404489881504,-6.25858580845119,,,,
8220DB001280,1280,McKelvey Ave,,53.400196,-6.303143,,,,
8220DB001290,1290,Clanbrassil Upr,,53.330731,-6.275167,,,,
8220DB001291,1291,Mt Drummond Ave,,53.328447,-6.27631,,,,
8220DB001344,1344,St Claire's School,,53.327171,-6.277608,,,,
8220DB001345,1345,Mt Drummond Ave,,53.328796,-6.276236,,,,
8220DB000406,406,Nassau Street,,53.342606,-6.256125,,,,
8220DB000526,526,Copeland Grove,,53.3668695721479,-6.22111227858031,,,,
8220DB000528,528,Castle Grove,,53.369264080697,-6.20993674463178,,,,
8220DB001187,1187,Celtic Pk Rd,,53.378608,-6.231355,,,,
8220DB001191,1191,Collins Court,,53.379217,-6.233074,,,,
8220DB001445,1445,Usher's Quay,,53.34592,-6.279466,,,,
8220DB001906,1906,Old Cabra Road,,53.361201,-6.297076,,,,
8220DB001909,1909,Prussia Street,,53.35696,-6.288411,,,,
8220DB000403,403,Nassau Street,,53.342714,-6.256706,,,,
8220DB000404,404,Nassau Street,,53.342663,-6.256348,,,,
8220DB001194,1194,Belton Pk Rd,,53.37748,-6.22521,,,,
8220DB001807,1807,Old Racecourse,,53.374415,-6.339263,,,,
8220DB001847,1847,Old Racecourse,,53.372902,-6.333926,,,,
8220DB001911,1911,Prussia Street,,53.356538,-6.2883,,,,
8220DB001913,1913,Cabra Drive,,53.358806,-6.291792,,,,
8220DB001914,1914,Glenbeigh Road,,53.360216,-6.294816,,,,
8220DB000180,180,Cremore Crescent,,53.37844,-6.276396,,,,
8220DB000037,37,DCU Ballymun Road,,53.385346401194,-6.26488698131794,,,,
8220DB000038,38,Hampstead Avenue,,53.3822365941636,-6.26550952120506,,,,
8220DB000609,609,Castle Grove,,53.3698375440776,-6.20862025648968,,,,
8220DB000674,674,Parnell Park,,53.3746860705057,-6.21608209235965,,,,
8220DB000747,747,Kildare Street,,53.339931,-6.255724,,,,
8220DB000750,750,Fitzwilliam Street,,53.336571,-6.248488,,,,
8220DB000761,761,Teresian School,,53.3161,-6.227487,,,,
8220DB000769,769,Belfield Court,,53.311901,-6.221328,,,,
8220DB000772,772,Donnybrook Dpot,,53.318485,-6.231321,,,,
8220DB000773,773,Donnybrook Stdm,,53.319916,-6.233273,,,,
8220DB000774,774,Donnybrook,,53.321612,-6.2355,,,,
